neighbourhood_cleansed,id,price,latitude,longitude,people,rooms,review.num,ratings.old,superhost,no.private,living
Loop,26663047,150,41.88741043,-87.62146834,4,0,1,100,0,0,1
Logan Square,26664694,52,41.92241058,-87.71513838,4,1,17,96,0,0,0
Loop,26666083,150,41.88733302,-87.61699046,4,0,2,90,0,0,1
West Town,26669637,149,41.89775576,-87.67142671,14,3,4,95,0,0,1
New City,26670337,103,41.81169045,-87.63986208,6,3,6,100,0,0,1
West Town,26678192,175,41.90102922,-87.68884551,5,2,8,93,0,0,1
Loop,26684662,250,41.88249367,-87.63360403,5,2,2,70,0,0,1
Near North Side,26685436,270,41.89929224,-87.62017646,5,2,1,80,0,0,1
Near West Side,26685458,89,41.88232037,-87.64287565,2,0,5,100,0,0,1
Near North Side,26685604,270,41.89907838,-87.61965944,5,2,4,90,0,0,1
Near North Side,26685761,200,41.89555159,-87.63008142,3,1,4,95,0,0,1
Near North Side,26685956,180,41.89400022,-87.63006073,3,0,3,93,0,0,1
Near North Side,26686146,200,41.89511138,-87.63018764,3,1,3,73,0,0,1
Near North Side,26686342,270,41.89966628,-87.61978394,5,2,4,80,0,0,1
Near North Side,26686522,200,41.89396774,-87.63166886,3,1,3,93,0,0,1
Near North Side,26686864,270,41.89929393,-87.62178966,5,2,8,93,0,0,1
Near North Side,26687249,270,41.8994899,-87.6204725,5,2,6,92,0,0,1
Near North Side,26687599,270,41.89890841,-87.62127133,5,2,9,96,0,0,1
West Town,26700761,163,41.90038552,-87.68131231,6,3,4,100,1,0,1
Near West Side,26712728,150,41.88402209,-87.64529954,4,0,1,100,0,0,1
Lincoln Park,26713916,199,41.91173174,-87.63866442,10,3,21,97,1,0,1
Armour Square,26714906,380,41.85127963,-87.63187299,16,4,10,96,1,0,1
Near West Side,26715258,66,41.87840672,-87.68092501,3,1,0,,0,0,1
Avondale,26715384,23,41.93716791,-87.7115488,1,1,10,92,1,1,0
Avondale,26715489,23,41.93781565,-87.71200215,1,1,5,96,1,1,0
Uptown,26715790,50,41.96826629,-87.65301294,2,1,10,100,1,0,0
Loop,26715915,115,41.8868981,-87.61969809,4,0,2,100,0,0,1
Lake View,26717160,86,41.95388842,-87.64973841,2,1,6,100,0,0,1
West Town,26717543,260,41.90378552,-87.67895716,6,3,0,,0,0,1
West Town,26717956,260,41.90444582,-87.67733817,6,3,1,100,0,0,1
West Ridge,26719366,120,42.00931462,-87.69395702,8,2,7,94,0,0,1
Uptown,26720860,80,41.96833784,-87.65478421,2,0,2,100,0,0,1
Avondale,26738983,190,41.93374863,-87.71988764,5,3,22,92,0,0,1
Lincoln Square,26739996,80,41.97686247,-87.69339757,4,1,14,100,1,0,1
Avondale,26741794,23,41.93903127,-87.71034409,1,1,11,96,1,1,0
Grand Boulevard,26742098,99,41.80702881,-87.61178085,4,2,11,91,0,0,1
Avondale,26744031,23,41.93886544,-87.71002214,1,1,3,100,1,1,0
Loop,26744254,150,41.88596422,-87.61871435,4,0,1,100,0,0,1
Avondale,26744505,23,41.93864857,-87.71156832,1,1,7,100,1,1,0
Loop,26745170,150,41.88758778,-87.62137489,4,0,1,100,1,0,1
Logan Square,26745324,300,41.9236551,-87.69542059,5,2,10,98,0,0,1
West Town,26748747,99,41.89668067,-87.69383269,10,3,5,100,0,0,1
